,index,translated_comments
99,rXMk86D7-lA,"['What the best way to experience all expansions/content, starting from vanilla up to be inside? 1 char for every expansion through chromie time? or first classic until pandaria and the rest in retail?', 'Double-declining depreciation [d]']"
100,sgZSvZYdtIk,"['I wish you guys where to go', ""one word for both y'all...westfall"", 'yo']"
101,ssdTuq9HQEQ,"[""whether you're using chrome or Edge, boosteroid streams games right from your browser. boosteroid supplements browser access with full-featured apps for windows, macos, linux, and Android TV. it plays well on lg and Samson smart TVs, plus in-car systems like Mercedes-benz bux. it's a unified experience where your account works simultaneously across every supported device.""]"
102,sw5FIv0ojko,"['take me an entire day to black through inventions/banks.. new characters became ""keepers"" of everything tragic, mains and old characters are ""clutching their pearls"" with helmets on sitting in the battub waiting the nuke lets go update!!!!']"
103,tv5bSEts6rY,['glad to see the old drums back! one other factor why I love these is because away from seeing the zones I can also see the character progression with new gear']
104,uG0z_NEKTDs,"[""top doesn't equal""]"
105,uP05ym-8T38,['subscribe for more lost of classic pvp pandaria!']
106,v-esS0rJHNA,"[""Hello, you're on the move.""]"
107,vEXmBzo4Tsk,"[""It's good to watch 8700 at 11 o'clock. Congratulations!"", 'Welcomes are gonna be a problem for classic pandaria. We need to load cata classic for just one week, or we need to load a different classic pandaria.']"
108,vOxD0PBA8_g,"['Is there something broken in the head, constantly jumping?']"
109,wWSR58Bt6n4,"['Hello, waitress =)']"
110,wmETb5NtRhM,['I hope you keep this series. I ended up watching this whole thing. I think you are my new favorite streamer! it was so nice listening to you talk about the zones.']
111,xaLsGvREVm4,"['What server are you playing?', 'Happy return to your warm home. Wants you to be free with your family.']"
112,xkCutwkZkPY,"['Thank you very much.', 'nel Harbor in seas is a solid fishing spot in how classic hardcore. while there\'s no strict ""required"" fishing level to cast your line there, you\'ll want to aim for around 150 fishing skill to significantly reduce the chance of fish getting away and legally catch the desired fish.', 'Some hardcore fishing going on']"
113,y7BF5MykSrw,"[""Hi, I've been watching you last night. I've been watching you a video and I think you've been playing with your guide elements.""]"
114,ybhirjTGCRc,"['blizzard needs to make colossus small a 20 seconds cd on retail. it field so much better being on a moderate cooldown', ""Damn long time since I've seen your content on the home page, didn't even recognize you! love to see content of yours again! keep it up man, miss playing later back in the day all because I watched your Warrior bg games."", 'Damn look at you now what asking wet 160?!?', 'Hey man. what poster profile you are using?']"
115,z9g3QvDPawA,['that previous set brings back memories of oh boy']
116,zF8pIu_NK3k,['Damn all this fake comments']
117,zJFp9z3Gu5M,['Lol i just rolled a Warrior a few weeks ago to catch up for the new patch. sounds promising']
118,zSNFnebC4OY,"['thirst, thirst, thirst, other thirst']"
